conflict,value,kind
 245000,     262,"l-restart"
 245000,       2,"g-restart"
 245000,   12734,"l-folding"
 245000,   29873,"g-folding"
 245000,     982,"solved"
 247500,     268,"l-restart"
 247500,       2,"g-restart"
 247500,   13286,"l-folding"
 247500,   30166,"g-folding"
 247500,    1015,"solved"
 250000,     302,"l-restart"
 250000,       2,"g-restart"
 250000,   13613,"l-folding"
 250000,   30381,"g-folding"
 250000,    1015,"solved"
 252500,     311,"l-restart"
 252500,       2,"g-restart"
 252500,   14008,"l-folding"
 252500,   30593,"g-folding"
 252500,    1017,"solved"
 255000,     321,"l-restart"
 255000,       2,"g-restart"
 255000,   14546,"l-folding"
 255000,   31036,"g-folding"
 255000,    1022,"solved"
 257500,     342,"l-restart"
 257500,       2,"g-restart"
 257500,   15134,"l-folding"
 257500,   31546,"g-folding"
 257500,    1106,"solved"
 260000,     381,"l-restart"
 260000,       2,"g-restart"
 260000,   15680,"l-folding"
 260000,   32041,"g-folding"
 260000,    1110,"solved"
 262500,     448,"l-restart"
 262500,       2,"g-restart"
 262500,   16299,"l-folding"
 262500,   32458,"g-folding"
 262500,    1110,"solved"
 265000,     492,"l-restart"
 265000,       2,"g-restart"
 265000,   16888,"l-folding"
 265000,   32935,"g-folding"
 265000,    1114,"solved"
 267500,     520,"l-restart"
 267500,       2,"g-restart"
 267500,   17533,"l-folding"
 267500,   33480,"g-folding"
 267500,    1118,"solved"
 270000,     584,"l-restart"
 270000,       2,"g-restart"
 270000,   18001,"l-folding"
 270000,   33818,"g-folding"
 270000,    1124,"solved"
 272500,     599,"l-restart"
 272500,       2,"g-restart"
 272500,   18482,"l-folding"
 272500,   34253,"g-folding"
 272500,    1145,"solved"
 275000,     609,"l-restart"
 275000,       2,"g-restart"
 275000,   18837,"l-folding"
 275000,   34552,"g-folding"
 275000,    1152,"solved"
 277500,     618,"l-restart"
 277500,       2,"g-restart"
 277500,   19006,"l-folding"
 277500,   34666,"g-folding"
 277500,    1154,"solved"
 280000,     618,"l-restart"
 280000,       2,"g-restart"
 280000,   19317,"l-folding"
 280000,   34918,"g-folding"
 280000,    1158,"solved"
 282500,     628,"l-restart"
 282500,       2,"g-restart"
 282500,   19517,"l-folding"
 282500,   35023,"g-folding"
 282500,    1158,"solved"
 285000,     650,"l-restart"
 285000,       2,"g-restart"
 285000,   19573,"l-folding"
 285000,   35067,"g-folding"
 285000,    1158,"solved"
 287500,     664,"l-restart"
 287500,       2,"g-restart"
 287500,   19843,"l-folding"
 287500,   35321,"g-folding"
 287500,    1161,"solved"
 290000,     670,"l-restart"
 290000,       2,"g-restart"
 290000,   20413,"l-folding"
 290000,   35889,"g-folding"
 290000,    1168,"solved"
 292500,     681,"l-restart"
 292500,       2,"g-restart"
 292500,   21003,"l-folding"
 292500,   36408,"g-folding"
 292500,    1180,"solved"
 295000,     723,"l-restart"
 295000,       2,"g-restart"
 295000,   21304,"l-folding"
 295000,   36700,"g-folding"
 295000,    1181,"solved"
 297500,     740,"l-restart"
 297500,       2,"g-restart"
 297500,   21536,"l-folding"
 297500,   36927,"g-folding"
 297500,    1194,"solved"
 300000,     754,"l-restart"
 300000,       2,"g-restart"
 300000,   22030,"l-folding"
 300000,   37319,"g-folding"
 300000,    1202,"solved"
 302500,     766,"l-restart"
 302500,       2,"g-restart"
 302500,   22782,"l-folding"
 302500,   37892,"g-folding"
 302500,    1204,"solved"
 305000,     797,"l-restart"
 305000,       2,"g-restart"
 305000,   22870,"l-folding"
 305000,   37970,"g-folding"
 305000,    1207,"solved"
 307500,     810,"l-restart"
 307500,       2,"g-restart"
 307500,   23066,"l-folding"
 307500,   38140,"g-folding"
