#conflict,#confvar,#multiconf,#fold,#multifold
 235000,-1.88863,-2.00513,-1.94693,-2.12016
 236000,-1.88449,-2.00187,-1.94196,-2.11708
 237000,-1.88026,-1.99882,-1.93745,-2.11418
 238000,-1.87928,-1.99717,-1.93685,-2.11360
 239000,-1.87533,-1.99434,-1.93187,-2.11110
 240000,-1.87167,-1.99154,-1.92781,-2.10797
 241000,-1.86849,-1.98877,-1.92450,-2.10524
 242000,-1.86407,-1.98549,-1.91986,-2.10077
 243000,-1.86055,-1.98292,-1.91589,-2.09786
 244000,-1.85749,-1.98034,-1.91298,-2.09508
 245000,-1.85351,-1.97746,-1.90865,-2.09176
 246000,-1.85211,-1.97602,-1.90787,-2.09094
 247000,-1.84935,-1.97336,-1.90526,-2.08867
 248000,-1.84654,-1.97110,-1.90232,-2.08583
 249000,-1.84486,-1.96922,-1.90100,-2.08415
 250000,-1.84261,-1.96736,-1.89804,-2.08293
 251000,-1.84015,-1.96571,-1.89522,-2.08143
 252000,-1.83726,-1.96305,-1.89221,-2.07915
 253000,-1.83443,-1.96076,-1.88936,-2.07689
 254000,-1.83213,-1.95875,-1.88694,-2.07445
 255000,-1.82822,-1.95653,-1.88260,-2.07195
 256000,-1.82653,-1.95500,-1.88133,-2.07078
 257000,-1.82551,-1.95404,-1.88032,-2.06976
 258000,-1.82096,-1.95118,-1.87447,-2.06688
 259000,-1.81636,-1.94781,-1.86943,-2.06257
 260000,-1.81502,-1.94630,-1.86844,-2.06163
 261000,-1.81392,-1.94512,-1.86725,-2.06031
 262000,-1.81266,-1.94394,-1.86593,-2.05900
 263000,-1.81145,-1.94236,-1.86540,-2.05818
 264000,-1.80986,-1.94090,-1.86386,-2.05692
 265000,-1.80701,-1.93845,-1.86122,-2.05448
 266000,-1.80260,-1.93522,-1.85636,-2.05096
 267000,-1.79992,-1.93287,-1.85308,-2.04839
 268000,-1.79709,-1.93027,-1.84987,-2.04548
 269000,-1.79474,-1.92763,-1.84656,-2.04303
 270000,-1.79283,-1.92623,-1.84487,-2.04180
 271000,-1.79116,-1.92429,-1.84300,-2.03965
 272000,-1.78983,-1.92308,-1.84154,-2.03838
 273000,-1.78781,-1.92090,-1.83974,-2.03629
 274000,-1.78487,-1.91805,-1.83678,-2.03316
 275000,-1.78207,-1.91580,-1.83327,-2.03075
 276000,-1.77719,-1.91273,-1.82756,-2.02796
 277000,-1.77480,-1.91028,-1.82513,-2.02532
 278000,-1.77322,-1.90885,-1.82333,-2.02374
 279000,-1.76958,-1.90617,-1.81890,-2.02078
 280000,-1.76608,-1.90356,-1.81508,-2.01783
 281000,-1.76388,-1.90189,-1.81212,-2.01652
 282000,-1.76248,-1.90087,-1.81067,-2.01561
 283000,-1.76157,-1.90013,-1.80992,-2.01495
 284000,-1.76071,-1.89898,-1.80928,-2.01399
 285000,-1.75908,-1.89709,-1.80783,-2.01209
 286000,-1.75859,-1.89649,-1.80736,-2.01140
 287000,-1.75717,-1.89524,-1.80648,-2.01037
 288000,-1.75564,-1.89414,-1.80535,-2.00907
 289000,-1.75506,-1.89319,-1.80514,-2.00866
 290000,-1.75464,-1.89273,-1.80487,-2.00838
 291000,-1.75358,-1.89153,-1.80399,-2.00689
 292000,-1.75158,-1.88907,-1.80192,-2.00426
 293000,-1.75037,-1.88754,-1.80074,-2.00291
 294000,-1.74932,-1.88641,-1.79973,-2.00197
 295000,-1.74846,-1.88524,-1.79924,-2.00094
 296000,-1.74812,-1.88467,-1.79904,-2.00058
 297000,-1.74773,-1.88424,-1.79893,-2.00047
 298000,-1.74751,-1.88386,-1.79877,-2.00002
 299000,-1.74722,-1.88349,-1.79846,-1.99977
 300000,-1.74702,-1.88315,-1.79834,-1.99959
 301000,-1.74685,-1.88272,-1.79819,-1.99930
 302000,-1.74660,-1.88243,-1.79805,-1.99902
 303000,-1.74636,-1.88211,-1.79791,-1.99882
 304000,-1.74616,-1.88181,-1.79780,-1.99854
 305000,-1.74587,-1.88136,-1.79764,-1.99818
 306000,-1.74566,-1.88105,-1.79748,-1.99787
 307000,-1.74539,-1.88070,-1.79739,-1.99770
 308000,-1.74519,-1.88047,-1.79724,-1.99751
 309000,-1.74503,-1.88025,-1.79717,-1.99736
 310000,-1.74493,-1.88004,-1.79714,-1.99724
