conflict,value,kind
 230000,      87,"l-restart"
 230000,       5,"g-restart"
 230000,    6779,"l-folding"
 230000,    8510,"g-folding"
 230000,    1085,"solved"
 232500,      87,"l-restart"
 232500,       5,"g-restart"
 232500,    6850,"l-folding"
 232500,    8562,"g-folding"
 232500,    1085,"solved"
 235000,      89,"l-restart"
 235000,       5,"g-restart"
 235000,    6977,"l-folding"
 235000,    8670,"g-folding"
 235000,    1085,"solved"
 237500,      89,"l-restart"
 237500,       5,"g-restart"
 237500,    7137,"l-folding"
 237500,    8794,"g-folding"
 237500,    1085,"solved"
 240000,      89,"l-restart"
 240000,       5,"g-restart"
 240000,    7266,"l-folding"
 240000,    8884,"g-folding"
 240000,    1085,"solved"
 242500,      89,"l-restart"
 242500,       5,"g-restart"
 242500,    7395,"l-folding"
 242500,    8995,"g-folding"
 242500,    1085,"solved"
 245000,      89,"l-restart"
 245000,       5,"g-restart"
 245000,    7497,"l-folding"
 245000,    9087,"g-folding"
 245000,    1085,"solved"
 247500,      89,"l-restart"
 247500,       5,"g-restart"
 247500,    7622,"l-folding"
 247500,    9205,"g-folding"
 247500,    1085,"solved"
 250000,      89,"l-restart"
 250000,       5,"g-restart"
 250000,    7808,"l-folding"
 250000,    9377,"g-folding"
 250000,    1085,"solved"
